"Timestamp","How did You hear about Skye8","Why did You Choose Skye8? ","Is this your first time at skye8?","Department (stack) at Skye8.","How would you Rate the quality of Learning opportunities provided during the internship? hint: were the projects challenging yet achievable.","Did the internship provide tasks or projects that align with your academic goals.","Give your reason for the above answer.","What skills or knowledge have you gained from the internship, what did you do with them and are they productive?","Were the resources (e.g. tool, equipment, materials) provided sufficient for completing task effectively?","How approachable and supportive are the supervisors?","Share any Specific Experiences (positive or Negative) you had while interacting with your supervisor","Did You receive timely and constructive feedback on your work?","How often did you interact with your supervisor/mentor?
(Daily, Weekly, Monthly, Rarely)","How would you rate the support provided by your supervisor? (1-5 scale)
(1 = No support at all, 5 = Very helpful and supportive)","Did you receive constructive feedback on your work?
(Yes = You got useful feedback to improve; No = You didn’t get much feedback)","Were your questions and concerns addressed adequately?
(Yes = Your concerns were taken seriously; No = You felt ignored)","How would you describe the work environment?
(e.g., Friendly, competitive, stressful, fun, learning-focused, etc.)","How welcoming and inclusive did you find the team? (1-5 scale)
(1 = Not welcoming, 5 = Very inclusive and supportive)","Did you feel valued as an intern?
(Yes = You felt appreciated; No = You felt like an outsider)","Were you encouraged to share ideas and take initiatives?
(Yes = Your ideas were welcomed; No = You were expected to just follow orders)","What challenges did you face during your internship?
(e.g., Lack of guidance, high workload, unclear expectations, poor communication, etc.)","What could Skye8 do to improve the intern experience?
(Share suggestions like better onboarding, more structured training, more responsibilities, etc.)","On a scale of 1-10, how satisfied are you with your internship?
(1 = Very dissatisfied, 10 = Extremely satisfied)","Would you recommend this internship to others?
(Yes = You’d tell others to apply; No = You wouldn’t recommend it)","Would you consider working at Skye8 in the future?
(Yes = You’d love to return; No = You wouldn’t want to work there again)","Any additional comments or feedback?  
(Open-ended, you can share anything else you feel is important)"
"2025/03/20 9:16:06 am CET","Friends/Family","I actually did internship in year1 at skye8 so based on previous experience the place is good","No","Back-end","Good","Yes","The task provided actually help us practicalize the theory which we've been learning","I'm still starting internship.","Yes","Good","None yet","Yes","Weekly","4","Option 1","Yes","The work environment is friendly, good, interactive.","4","3","Yes","I'm still starting out the internship.","Creation of outdoor activities per time.","7","Yes","Yes","None"
"2025/03/20 9:21:30 am CET","Social Media","Because I heard of their innovative dreams of advancing in the tech space. With that I think I can be able to learn more","Yes","Front-end","Good","Yes","Because all the tasks given align to the front end development stream I am into. Based on the html, css and the javascript ","As a newbie in the front end development stream I have learned the basics of the space. I can now build minor and responsive websites and small projects","Yes","Satisfactory","For positive experiences he helps in sorting out problems that I couldn't. For the negative part nothing yet","No","Daily","4","Option 1","Yes","Learning focused ","4","4","Yes","Unclear expectations","N/A","8","Yes","Yes","N/A"
"2025/03/20 9:25:09 am CET","Friends/Family","because they separate interns into different specialties and trains them (us accordingly) ","No","Front-end","Good","Yes","the tasks we get concern only our department, our line of work(css html and JavaScript)","how to work with teams and manage work files","Yes","Good","Our supervisor makes it a point to check up on his inters","Yes","Daily","3","Option 1","No","Friendly, stressful, fun, learning-focused","4","3","Yes","Mostly the time for task completion was not that good","actually, I think they are doing a great job, and i really don't see what can be added ","8","Yes","Yes","nope noting in mind"
"2025/03/20 9:25:57 am CET","Friends/Family","Mainly because it's closest to my home and also because i was recommended to them due to their strict response when it comes to doing the work","Yes","Back-end","Very good","Yes","My academic goal is to acquire enough skills and the confidence that comes along to fit myself in any project of my choice at the end, and that's just what the projects/tasks are doing for me","Backend development -- very productive
My critical thinking skill has been further enhanced -- very productive","Yes","Very good","My experience while intaracting with my supervisor in general was quite amazing, it was both juvial and professional making me feel at home","No","Weekly","3","Option 1","Yes","Friendly, learning-focused, professional and fun","5","4","Yes","poor communication amongst interns","Better communication overall","9","Yes","Yes","Nothing else"
"2025/03/20 9:26:50 am CET","Friends/Family","Because it was the best choice I had","No","Front-end","Good","Yes","I have learnt a lot","I have gain knowledge in HTML,CSS, and JavaScript","Yes","Good","N/A","Yes","Daily","3","Option 1","Yes","stressful ,friendly","3","3","Maybe","high work load, unclear expectation","More structured training (possibly an outline on what we are expected to do","5","Maybe","Maybe","N/A"
"2025/03/20 9:27:15 am CET","Friends/Family","I choose Skye8 because it have a good reputation of training interns ","Yes","Data science","Very good","Yes","Because they task given were concern with my field of studies ","Learn professional basics ","Yes","Very good","They are very nice and pretty supportive ","Yes","Daily","5","Option 1","Yes","Friendly ","5","5","Yes","Unclear expectations ","Should make interaction with more people outside work space ","8","Yes","Yes","Some days apart from Saturday 
Students can work from home "
"2025/03/20 9:35:10 am CET","Friends/Family","I choosed skye8 because I got very positive review s about the institution and how experience the staffs are ","Yes","Front-end","Satisfactory","Yes","The projects assigned to me where quite challenging but it pushed me to learn more ","I have enhanced my skills on html, css and js","Yes","Good","So far I have had positive interactions with my supervisor. Thou he is quite strict hence pushing me to learn more and he encourages me to give in my best ","No","Daily","3","Option 1","Yes","The work environment at skye8 is very friendly but also very professional and learning focused. It gives us the opportunity to express ourself and listen to the concern interns complains ","4","1","Yes","The only challenge I face at skye8 is the submission time which is in a good way in that it helps me to learn how to work under pressure ","I think skye8 can improve on task time schedule and the time for the Monday meetings ","6","Yes","Yes","None"
"2025/03/20 9:38:24 am CET","Friends/Family","Because it help to build the future","Yes","Front-end","Good","Yes","because it been a help to me","i have gain alot  all thanks to my supervisor","Yes","Good","maybe ","Yes","Daily","3","Option 1","Yes","Friendly","5","1","Yes","Faced alot with the JavaScript","More structured training","10","Yes","Yes","I will love to come to Skye8 because it very good and interesting"
"2025/03/20 9:38:52 am CET","Social Media","Because I believe that I can gain the skills I want from Skye8 ","No","Front-end","Good","Yes","The task assigned to me where quite challenging but yet achievable it pushed me to learn more and carryout more research ","I have gain a lot but not yet applicable ","Yes","Satisfactory","None","No","Weekly","3","Option 1","No","Learning-focused","3","3","Maybe","Poor communication ","More structured training ","5","Yes","Yes","None"
"2025/03/20 9:40:52 am CET","Friends/Family","Because it was the best choice i had","No","Front-end","Good","Yes","I have managed to learn a lot so far","I have  gained knowledge in HTML,CSS and JavaScript.","Yes","Good","N/A","Yes","Daily","3","Option 1","Yes","stressful, friendly","3","3","Maybe","High workload
Unclear expectations
Mental exhaustion","Make a course outline of what the interns are expected to do before the internship ends","5","Maybe","Maybe","N/A"
